주소,행정동,단지종류,단지명_공시가격,단지명_건축물대장,단지명_도로명주소,단지고유번호,동수,필지고유번호,세대수,사용승인일,동명_건축물대장,지상층수,위도,경도
경상남도 진주시 망경동 390,망경동,1,동신,,망경동신아파트,"""48170100017389""",2,"""4817010100103900000""",95,19900417,"1동,2동",5,35.18014672,128.081403
경상남도 진주시 망경동 253,망경동,1,망경한보타운,망경한보타운,망경한보타운,"""48170100017390""",6,"""4817010100102530000""",886,19971018,"102동,103동,104동,105동,106동,107동",20,35.18213063,128.0803571
경상남도 진주시 망경동 45-4,망경동,1,삼호그린맨션,,삼호그린맨션,"""48170100017391""",1,"""4817010100100450004""",65,19920115,1동,11,35.18416967,128.0857065
경상남도 진주시 망경동 439-15,망경동,1,이화맨션,,망경이화맨션,"""48170100017392""",3,"""4817010100104390015""",90,19890531,"가동,나동,다동",5,35.18083678,128.0841131
경상남도 진주시 주약동 407-1,주약동,1,금호석류,금호석류마을,금호석류마을,"""48170100017394""",15,"""4817010200104070001""",782,19991217,"101동,102동,103동,104동,105동,106동,107동,108동,109동,110동",21,35.17267269,128.0952337
경상남도 진주시 주약동 156,주약동,1,한주럭키타운,한주럭키타운,한주럭키타운,"""48170100017396""",13,"""4817010200101560000""",936,19900430,"1동,2동,3동,5동,6동,7동,8동,9동,10동,11동",12,35.17647695,128.0908135
경상남도 진주시 주약동 360,주약동,1,현대,현대아파트,현대아파트,"""48170100017398""",18,"""4817010200103600000""",835,20001127,"101동,102동,103동,104동,105동,106동,107동,108동,109동,110동",14,35.17210209,128.0932767
경상남도 진주시 주약동 360-2,주약동,1,한보은빛마을,한보은빛마을,한보은빛마을,"""48170100017399""",7,"""4817010200103600002""",516,20020328,"101동,102동,103동,104동,105동,106동,107동",8,35.17116606,128.093669
경상남도 진주시 강남동 233,강남동,1,대경강남타운,대경강남타운/대경빌딩,대경강남타운,"""48170100017400""",1,"""4817010300102330000""",179,19971231,101동,20,35.18032584,128.0896551
경상남도 진주시 강남동 219,강남동,1,동성가든타워,동성가든타워,동성가든타워,"""48170100017401""",3,"""4817010300102190000""",195,19940101,아파트,18,35.18091616,128.0893281
경상남도 진주시 강남동 7-61,강남동,1,서성파라토피아,,서성파라토피아아파트,"""48170100017402""",1,"""4817010300100070061""",66,19891227,1동,11,35.18670151,128.0882669
경상남도 진주시 강남동 170,강남동,1,한주한보,강남한주한보타운,강남한주한보타운,"""48170100017403""",1,"""4817010300101700000""",279,19950529,101동,18,35.18411746,128.0867034
경상남도 진주시 칠암동 78,칠암동,1,칠암한주타운,칠암 한주 아파트,칠암한주아파트,"""48170100017409""",1,"""4817010400100780000""",190,19951023,101동,21,35.17756353,128.0972425
경상남도 진주시 칠암동 277,칠암동,1,현대,,현대아파트,"""48170100017410""",3,"""4817010400102770000""",190,19850816,"가동,나동,다동",10,35.18713645,128.089002
